Tempo	Acel X	Acel Y	Acel Z
2024-02-18 04:06:01.385509	-2.720742188	3.036884766	8.813671875
2024-02-18 04:06:01.391016	-2.730322266	2.988984375	8.851992188
2024-02-18 04:06:01.394516	-2.749482422	3.132685547	8.871152344
2024-02-18 04:06:01.398089	-2.739902344	2.998564453	8.938212891
2024-02-18 04:06:01.401508	-2.730322266	3.123105469	8.832832031
2024-02-18 04:06:01.405567	-2.730322266	3.132685547	8.842412109
2024-02-18 04:06:01.408984	-2.749482422	2.988984375	8.832832031
2024-02-18 04:06:01.412362	-2.730322266	3.123105469	8.832832031
2024-02-18 04:06:01.415715	-2.749482422	2.988984375	8.832832031
2024-02-18 04:06:01.421600	-2.739902344	3.103945313	8.957373047
2024-02-18 04:06:01.424999	-2.835703125	3.123105469	8.919052734
2024-02-18 04:06:01.430055	-2.720742188	3.017724609	8.947792969
2024-02-18 04:06:01.433927	-2.701582031	3.094365234	8.947792969
2024-02-18 04:06:01.437498	-2.950664063	3.065625	8.823251953
2024-02-18 04:06:01.441341	-2.950664063	3.008144531	8.823251953
2024-02-18 04:06:01.444765	-2.749482422	3.008144531	8.938212891
2024-02-18 04:06:01.448114	-2.692001953	2.988984375	8.823251953
2024-02-18 04:06:01.453210	-2.711162109	3.103945313	8.957373047
2024-02-18 04:06:01.456688	-2.730322266	3.132685547	8.880732422
2024-02-18 04:06:01.460250	-2.931503906	3.075205078	8.823251953
2024-02-18 04:06:01.463628	-2.739902344	3.017724609	8.919052734
2024-02-18 04:06:01.467084	-2.730322266	3.017724609	8.851992188
2024-02-18 04:06:01.470441	-2.692001953	3.056044922	8.851992188
2024-02-18 04:06:01.473931	-2.739902344	2.988984375	8.957373047
2024-02-18 04:06:01.477443	-2.720742188	2.998564453	8.957373047
2024-02-18 04:06:01.480837	-2.720742188	3.123105469	8.947792969
2024-02-18 04:06:01.484452	-2.711162109	3.027304688	8.823251953
2024-02-18 04:06:01.495762	-2.7590625	3.094365234	8.842412109
2024-02-18 04:06:01.499201	-2.739902344	3.123105469	8.813671875
2024-02-18 04:06:01.502663	-2.720742188	3.132685547	8.813671875
2024-02-18 04:06:01.506027	-2.739902344	3.008144531	8.957373047
2024-02-18 04:06:01.510134	-2.701582031	3.065625	8.823251953
2024-02-18 04:06:01.513581	-2.7590625	2.988984375	8.842412109
2024-02-18 04:06:01.516942	-2.835703125	3.094365234	8.842412109
2024-02-18 04:06:01.520521	-2.720742188	2.998564453	8.832832031
2024-02-18 04:06:01.523897	-2.739902344	3.008144531	8.957373047
2024-02-18 04:06:01.527321	-2.720742188	3.017724609	8.928632813
2024-02-18 04:06:01.530818	-2.739902344	2.998564453	8.957373047
2024-02-18 04:06:01.534178	-2.7590625	3.017724609	8.851992188
2024-02-18 04:06:01.537627	-2.730322266	2.988984375	8.823251953
2024-02-18 04:06:01.541139	-2.701582031	2.902763672	8.957373047
2024-02-18 04:06:01.544547	-2.730322266	3.008144531	8.957373047
2024-02-18 04:06:01.548027	-2.720742188	3.094365234	8.832832031
2024-02-18 04:06:01.551522	-2.720742188	2.998564453	8.823251953
2024-02-18 04:06:01.554924	-2.749482422	3.027304688	8.832832031
2024-02-18 04:06:01.558433	-2.749482422	2.988984375	8.851992188
2024-02-18 04:06:01.561932	-2.749482422	3.113525391	8.861572266
2024-02-18 04:06:01.565365	-2.730322266	2.988984375	8.813671875
2024-02-18 04:06:01.568803	-2.701582031	3.094365234	8.813671875
2024-02-18 04:06:01.572311	-2.730322266	3.027304688	8.832832031
2024-02-18 04:06:01.575652	-2.701582031	2.988984375	8.938212891
2024-02-18 04:06:01.579094	-2.730322266	3.132685547	8.832832031
2024-02-18 04:06:01.582490	-2.739902344	3.027304688	8.823251953
2024-02-18 04:06:01.586017	-2.720742188	3.132685547	8.832832031
2024-02-18 04:06:01.589546	-2.711162109	3.103945313	8.842412109
2024-02-18 04:06:01.592962	-2.739902344	2.998564453	8.832832031
2024-02-18 04:06:01.596458	-2.7590625	3.008144531	8.832832031
2024-02-18 04:06:01.599981	-2.739902344	3.123105469	8.938212891
2024-02-18 04:06:01.603498	-2.701582031	2.988984375	8.947792969
2024-02-18 04:06:01.606954	-2.749482422	3.027304688	8.871152344
2024-02-18 04:06:01.610367	-2.730322266	2.988984375	8.842412109
2024-02-18 04:06:01.613868	-2.692001953	3.084785156	8.842412109
2024-02-18 04:06:01.617259	-2.7590625	3.123105469	8.861572266
2024-02-18 04:06:01.620799	-2.711162109	3.094365234	8.957373047
2024-02-18 04:06:01.624285	-2.7590625	3.132685547	8.938212891
2024-02-18 04:06:01.627711	-2.730322266	2.988984375	8.832832031
2024-02-18 04:06:01.631182	-2.720742188	3.123105469	8.842412109
2024-02-18 04:06:01.634717	-2.720742188	2.988984375	8.832832031
2024-02-18 04:06:01.638121	-2.739902344	2.998564453	8.957373047
2024-02-18 04:06:01.641621	-2.7590625	3.027304688	8.957373047
2024-02-18 04:06:01.645123	-2.7590625	3.008144531	8.938212891
2024-02-18 04:06:01.650487	-2.739902344	2.988984375	8.957373047
2024-02-18 04:06:01.653970	-2.730322266	3.132685547	8.832832031
2024-02-18 04:06:01.657444	-2.720742188	3.132685547	8.880732422
2024-02-18 04:06:01.660947	-2.739902344	3.123105469	8.842412109
2024-02-18 04:06:01.664332	-2.749482422	3.017724609	8.823251953
2024-02-18 04:06:01.667789	-2.749482422	3.123105469	8.823251953
2024-02-18 04:06:01.671311	-2.730322266	3.094365234	8.832832031
2024-02-18 04:06:01.674718	-2.941083984	2.998564453	8.851992188
2024-02-18 04:06:01.679656	-2.730322266	2.988984375	8.957373047
2024-02-18 04:06:01.683852	-2.931503906	2.998564453	8.957373047
2024-02-18 04:06:01.687396	-2.739902344	3.132685547	8.851992188
2024-02-18 04:06:01.690877	-2.921923828	3.132685547	8.813671875
2024-02-18 04:06:01.694624	-2.7590625	2.988984375	8.823251953
